[WARNING] ME(34116:44792,MainProcess):2026-02-10-01:28:52.429.471 [mindspore\context.py:1334] For 'context.set_context', the parameter 'device_target' will be deprecated and removed in a future version. Please use the api mindspore.set_device() instead.
Loading MIMIC Data...
Starting MindSpore Hybrid Training (Vitals + NLP)...
epoch: 1 step: 100, loss is 1.0718151330947876
epoch: 1 step: 200, loss is 0.9455927014350891
epoch: 1 step: 300, loss is 0.8251354694366455
epoch: 1 step: 400, loss is 0.8636820912361145
epoch: 1 step: 500, loss is 0.8845651745796204
epoch: 1 step: 600, loss is 0.7867868542671204
epoch: 1 step: 700, loss is 0.7964041233062744
epoch: 1 step: 800, loss is 0.8992814421653748
epoch: 1 step: 900, loss is 0.7834351062774658
epoch: 1 step: 1000, loss is 0.8777234554290771
epoch: 1 step: 1100, loss is 0.7877311706542969
epoch: 1 step: 1200, loss is 0.8670494556427002
epoch: 2 step: 50, loss is 0.8415071964263916
epoch: 2 step: 150, loss is 0.9228325486183167
epoch: 2 step: 250, loss is 0.8256657719612122
epoch: 2 step: 350, loss is 0.9349855780601501
epoch: 2 step: 450, loss is 0.7868370413780212
epoch: 2 step: 550, loss is 0.8033029437065125
epoch: 2 step: 650, loss is 1.005511999130249
epoch: 2 step: 750, loss is 0.7496287226676941
epoch: 2 step: 850, loss is 0.790626049041748
epoch: 2 step: 950, loss is 0.9503470659255981
epoch: 2 step: 1050, loss is 0.8430275321006775
epoch: 2 step: 1150, loss is 0.7962945699691772
epoch: 2 step: 1250, loss is 0.9277673959732056
epoch: 3 step: 100, loss is 0.7913052439689636
epoch: 3 step: 200, loss is 0.8379865884780884
epoch: 3 step: 300, loss is 0.900675356388092
epoch: 3 step: 400, loss is 0.8573176264762878
epoch: 3 step: 500, loss is 0.9190436601638794
epoch: 3 step: 600, loss is 0.9091895818710327
epoch: 3 step: 700, loss is 0.9104567170143127
epoch: 3 step: 800, loss is 0.8495047092437744
epoch: 3 step: 900, loss is 0.7389417886734009
epoch: 3 step: 1000, loss is 0.7714100480079651
epoch: 3 step: 1100, loss is 0.7821135520935059
epoch: 3 step: 1200, loss is 0.8421608209609985
epoch: 4 step: 50, loss is 0.7180216312408447
epoch: 4 step: 150, loss is 0.9279128313064575
epoch: 4 step: 250, loss is 0.7642688155174255
epoch: 4 step: 350, loss is 0.8348970413208008
epoch: 4 step: 450, loss is 0.8540475964546204
epoch: 4 step: 550, loss is 0.8859733939170837
epoch: 4 step: 650, loss is 0.8683145642280579
epoch: 4 step: 750, loss is 0.8788326382637024
epoch: 4 step: 850, loss is 0.7429505586624146
epoch: 4 step: 950, loss is 0.7334656119346619
epoch: 4 step: 1050, loss is 0.9524829983711243
epoch: 4 step: 1150, loss is 0.9684314727783203
epoch: 4 step: 1250, loss is 0.9130504727363586
epoch: 5 step: 100, loss is 0.8556762933731079
epoch: 5 step: 200, loss is 0.7991306185722351
epoch: 5 step: 300, loss is 0.6995232701301575
epoch: 5 step: 400, loss is 0.9136165380477905
epoch: 5 step: 500, loss is 0.7905328273773193
epoch: 5 step: 600, loss is 0.8364003896713257
epoch: 5 step: 700, loss is 0.711445152759552
epoch: 5 step: 800, loss is 0.8687329888343811
epoch: 5 step: 900, loss is 0.7359027862548828
epoch: 5 step: 1000, loss is 0.7748287916183472
epoch: 5 step: 1100, loss is 0.8629574179649353
epoch: 5 step: 1200, loss is 0.875722348690033
epoch: 6 step: 50, loss is 0.7918828725814819
epoch: 6 step: 150, loss is 0.6621416807174683
epoch: 6 step: 250, loss is 0.8137652277946472
epoch: 6 step: 350, loss is 0.820570707321167
epoch: 6 step: 450, loss is 0.7869150638580322
epoch: 6 step: 550, loss is 0.792081892490387
epoch: 6 step: 650, loss is 0.7495527863502502
epoch: 6 step: 750, loss is 0.8051496148109436
epoch: 6 step: 850, loss is 0.7478731274604797
epoch: 6 step: 950, loss is 0.8226998448371887
epoch: 6 step: 1050, loss is 0.8372603058815002
epoch: 6 step: 1150, loss is 0.7130652666091919
epoch: 6 step: 1250, loss is 0.7833647727966309
epoch: 7 step: 100, loss is 0.8248273730278015
epoch: 7 step: 200, loss is 0.7760469913482666
epoch: 7 step: 300, loss is 0.6536216139793396
epoch: 7 step: 400, loss is 0.796491801738739
epoch: 7 step: 500, loss is 0.7824805378913879
epoch: 7 step: 600, loss is 0.8027657270431519
epoch: 7 step: 700, loss is 0.8140087127685547
epoch: 7 step: 800, loss is 0.7046739459037781
epoch: 7 step: 900, loss is 0.8222053050994873
epoch: 7 step: 1000, loss is 0.7754008769989014
epoch: 7 step: 1100, loss is 0.7245991230010986
epoch: 7 step: 1200, loss is 0.7707886099815369
epoch: 8 step: 50, loss is 0.793089747428894
epoch: 8 step: 150, loss is 0.7770703434944153
epoch: 8 step: 250, loss is 0.6777923703193665
epoch: 8 step: 350, loss is 0.7828155159950256
epoch: 8 step: 450, loss is 0.7355705499649048
epoch: 8 step: 550, loss is 0.7119326591491699
epoch: 8 step: 650, loss is 0.7750549912452698
epoch: 8 step: 750, loss is 0.8372695446014404
epoch: 8 step: 850, loss is 0.7514765858650208
epoch: 8 step: 950, loss is 0.8066107630729675
epoch: 8 step: 1050, loss is 0.7901657819747925
epoch: 8 step: 1150, loss is 0.7766768932342529
epoch: 8 step: 1250, loss is 0.7408515810966492
epoch: 9 step: 100, loss is 0.7796600461006165
epoch: 9 step: 200, loss is 0.746006190776825
epoch: 9 step: 300, loss is 0.6324070692062378
epoch: 9 step: 400, loss is 0.7787205576896667
epoch: 9 step: 500, loss is 0.8468008637428284
epoch: 9 step: 600, loss is 0.8362229466438293
epoch: 9 step: 700, loss is 0.7747355103492737
epoch: 9 step: 800, loss is 0.7661640644073486
epoch: 9 step: 900, loss is 0.7402411103248596
epoch: 9 step: 1000, loss is 0.8249739408493042
epoch: 9 step: 1100, loss is 0.7694994211196899
epoch: 9 step: 1200, loss is 0.7069697976112366
epoch: 10 step: 50, loss is 0.7476748824119568
epoch: 10 step: 150, loss is 0.717260479927063
epoch: 10 step: 250, loss is 0.7625375986099243
epoch: 10 step: 350, loss is 0.7965156435966492
epoch: 10 step: 450, loss is 0.8655067682266235
